"Qty";"Value";"Device";"Package";"Parts";"Description";"ARTIKEL_NR";"AVAILABILITY";"C-CH";"CERAMIC-TYPE";"CHANNELS";"CHIP-TECHNOLOGY";"CONTACT-RESISTANCE";"DATASHEET-URL";"DESCRIPTION";"DF";"EMITTING-COLOR";"GENDER";"HEIGHT";"I-V-TYP";"IPEAK";"IR";"LAMDA-DOM-TYP";"LAMDA-PEAK-TYP";"MATES";"MF";"MOUNT";"MP";"OPERATING-TEMPERATURE";"PACKAGE";"PACKAGING";"PART-NUMBER";"PDISS";"PHI-V-TYP";"PINS";"PITCH";"PRICE";"PURCHASE-URL";"QMIN";"RISO";"ROWS";"SIZE";"TECHNICAL-REFERENCE";"TYPE";"V-F-TYP";"VALUE";"VBR";"VCLAMP";"VIEWING-ANGLE";"VR";"WORKING-VOLTAGE";
"1";"22uF";"WCAP-CSGP_1210_H2.5_885012109014_25V(DC)";"WCAP-CSGP_1210_H2.5";"C10";"WCAP-CSGP MLCCs 1210";"";"";"";"X5R Class II";"";"";"";"https://www.we-online.com/redexpert/spec/885012109014?ae";"";"5%";"";"";"2.5mm";"";"";"";"";"";"";"";"SMT";"";"-55 up to +85 °C";"";"";" 885012109014 ";"";"";"";"";"";"";"-";"0.005GOhm";"";"1210";"X5R1210226M025DFCT10000";"";"";"22uF";"";"";"";"25V(DC)";"";
"1";"24Vdc";"WE-TVS_SOT23-3L_824094024";"WE-TVS_SOT23-3L";"D11";"WE-TVS TVS Diode – Standard Series";"";"";"38pF";"";" 2 ";"";"";"https://www.we-online.com/catalog/datasheet/824094024.pdf";"";"";"";"";"";"";"6A";"";"";"";"";"";"SMT";"";"";"";"";" 824094024 ";"";"";"";"";"";"";"";"";"";"";"";"";"";"24Vdc";"26.2V";"";"";"";"";
"4";"3.3Vdc";"WE-TVS-HS_SOT143-4L_8240136";"WE-TVS_SOT143-4L";"D12, D13, D15, D17";"WE-TVS TVS Diode – High Speed Series";"";"";"3pF";"";"2+1";"";"";"https://www.we-online.com/catalog/datasheet/8240136.pdf";"";"";"";"";"";"";"12A";"";"";"";"";"";"SMT";"";"";"";"";"8240136";"";"";"";"";"";"";"";"";"";"";"";"";"";"3.3Vdc";"4.5V";"";"";"";"";
"2";"33V";"WE-TVSP_DO-214AB_3000W_BI_824551331";"WE-TVSP_DO-214AB_BIDIRECTIONAL";"D0, D5";"WE-TVSP Power TVS Diode";"";"";"";"";"";"";"";"https://www.we-online.com/catalog/datasheet/824551331.pdf";"";"";"";"";"";"";"56.3A";"";"";"";"";"";"SMT";"";"";"";"";" 824551331 ";"3000W";"";"";"";"";"";"";"";"";"";"";"";"";"33V";"38.65V";"53.3V";"";"";"";
"8";"470Ohm";"R-EU_R1206";"R1206";"RX1, RX2, RX3, RX4, RX5, RX6, RX7, RX8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"47K";"R-EU_R1206";"R1206";"R22, R25, R29, R30, R40, R43, R52, R55";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"47R";"R-EU_R0805";"R0805";"R7, R8, R10, R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"47nF";"WCAP-CSGP_0805_H0.8_885012207096_50V(DC)_R";"WCAP-CSGP_0805_H0.8_R";"C15";"WCAP-CSGP MLCCs 0805";"";"";"";"X7R Class II";"";"";"";"https://www.we-online.com/redexpert/spec/885012207096?ae";"";"2.5%";"";"";"0.8mm";"";"";"";"";"";"";"";"SMT";"";"-55 up to +125 °C";"";"";" 885012207096 ";"";"";"";"";"";"";"-";"10GOhm";"";"0805";"X7R0805473K050DFCT10000";"";"";"47nF";"";"";"";"50V(DC)";"";
"8";"4k7";"R-EU_R0805";"R0805";"R2, R4, R5, R6, R9, R11, R13, R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"60R";"R-EU_R0805";"R0805";"R1, R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"B4P-VH";"B4P-VH";"B4P-VH";"X2";"JST VH Series header 3.96mm pitch disconnectable crimp style connectors, vertical (side entry type), 4 pins";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ESP32-S3-DEVKITC-1-N8R2";"ESP32-S3-DEVKITC-1-N8R2";"XCVR_ESP32-S3-DEVKITC-1-N8R2";"U1";"Check availability";"";"In Stock";"";"";"";"";"";"";" WiFi Development Tools - 802.11 (Engineering Samples Only) ESP32-S3 General-Purpose Development Board, ESP32-S3-WROOM-1-N8R2, with Pin Header ";"";"";"";"";"";"";"";"";"";"";"Espressif Systems";"";"ESP32-S3-DEVKITC-1-N8R2";"";"None";"";"";"";"";"";"";"None";"https://pricing.snapeda.com/search/part/ESP32-S3-DEVKITC-1-N8R2/?ref=eda";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TLE9250VSJ";"TLE9250VSJ";"SOIC127P602X173-8N-V";"U4";"TLE9250VSJ";"545599";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
